icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
c0480c,1669345320,,1669348090,CYVR,CGBHJ   ,,,2551,57,0,3
c0480c,1669341605,CYVR,1669343647,CYYJ,CGBHJ   ,12558,56,25608,64,0,4
c06360,1669344758,CYHM,1669345589,CYTZ,POE9805 ,670,36,191,15,0,3
c822e4,1669345803,NZAA,1669348646,NZWN,ANZ481  ,1744,153,6023,406,0,0
e49295,1669343551,,1669347514,,AZU4219 ,,,,,0,0
06a36b,1669344906,OTBD,1669348792,OTBD,A7GHZ   ,2019,35,904,3,1,2
71c371,1669342733,RKSS,1669344713,,AAR8931 ,804,58,,,2,0
7584f0,1669342984,RPLL,1669344502,,GAP2963 ,1022,7,,,1,0
780487,1669343457,ZGSZ,1669344775,,CSN6969 ,4732,506,,,0,0
7805fd,1669346527,,1669347418,ZGSZ,CSN5832 ,,,3927,125,0,0
8409ed,1669344300,,1669345340,RJFF,JTA052  ,,,2325,5,0,0
84b81c,1669344452,RJTT,1669347178,,ANA741  ,1718,134,,,0,0
862338,1669344891,,1669347539,,ANA1865 ,,,,,0,0
885966,1669344510,VTBS,1669345345,,TVJ370  ,2541,409,,,0,0
7c7b7d,1669346052,YPJT,1669348376,YPJT,YOF     ,198,15,1166,46,0,2
a07fb5,1669342430,KSMF,1669346140,KLAX,EDG131  ,1867,266,2485,53,7,7
a48bc7,1669343633,KPWT,1669345231,KPWT,N392S   ,1027,70,2689,108,3,7
a653fd,1669343014,KDVT,1669344522,00AZ,N507AM  ,67,54,15851,576,1,1
a653fd,1669341711,KPHX,1669342335,KDVT,N507AM  ,8256,41,293,54,2,7
aa432d,1669344076,KDEN,1669348618,KTUL,SWA1679 ,5558,59,1932,53,5,14
c02358,1669344221,CYYZ,1669348404,KIAD,JZA620  ,1953,21,1934,87,1,6
c82350,1669345402,NZPN,1669346374,NZPP,SDA418  ,12833,1840,6535,511,1,0
c81a5a,1669343962,NZAA,1669347142,NZGS,ANZ167L ,1199,122,2451,201,0,0
4b9903,1669346773,,1669348384,LCEN,FHY460  ,,,1038,36,0,0
71c329,1669345470,,1669348229,RKSS,TWB712  ,,,2359,4,0,4
75010b,1669346494,WMKK,1669347338,,AXM648  ,11113,1007,,,0,0
888191,1669343760,,1669345220,VVCI,BAV1540 ,,,1643,1,0,1
7c15ab,1669345111,YPLC,1669347407,YPAD,RXA4367 ,1306,110,1044,6,0,3
7c4306,1669341814,YMPC,1669345366,YMPC,NIW     ,395,34,669,65,0,4
7c3e0c,1669347186,YSCN,1669348617,YSMB,MJI     ,6909,89,5865,19,1,2
a09273,1669343563,PN35,1669345558,KMDT,N136KY  ,10737,499,356,27,0,16
a695f9,1669342020,,1669344293,MMMX,VOI759  ,,,17319,757,0,1
750501,1669345232,,1669347629,WBKK,9MSBH   ,,,259,27,0,0
800b82,1669343032,VIDP,1669345289,,SEJ8473 ,3671,22,,,1,0
